status,grade,score,quality,page_type,funnel,question,monetization,content_json,claims,needs_verification,critical_fails,url,title
Published (no brief),C,73.3,72.2,trust_comparison,,,,,,,Transparent pricing; Handles objections,/tools/,"Pet Relocation Tools — Cost, Timeline & Eligibility | PawRoute"
Published (no brief),C,74.1,47.1,hub,,,,,,,,/about/,About PawRoute — Transparent Pet Relocation From the UAE
Published (no brief),C,74.9,60.8,reassurance,,,,,,,,/moving-to-dubai/summer-travel/,Can I fly my pet to or from Dubai in summer? The heat embargo explained | PawRoute
Published (no brief),C,76.3,50.1,hub,,,,,,,,/blog/,Pet Relocation Guides — Dubai & the UAE | PawRoute
Published (no brief),C,77.3,49.9,hub,,,,,,,,/destinations/uk/,"Moving a Pet to the UK from Dubai — Cost, Rules & Guides"
Published (no brief),C,79.2,48.4,hub,,,,,,,,/destinations/usa/,"Moving a Pet to the USA from Dubai — Cost, CDC Rules & Guides"
Published (no brief),C,79.2,61.5,guide,,,,,,,Answer-first opening,/faq/,"Pet Relocation FAQ — Costs, Rules, Timelines from the UAE | PawRoute"
Published,C,79.3,70.6,service,MOFU→BOFU (commercial-investigation → transactional),pet relocation dubai to usa,lead_generation (route enquiry → WhatsApp quote),route-usa.json,CLAIMS-AUDIT.md,,Clear primary CTA,/destinations/uae-to-usa/,"Pet Relocation Dubai to USA — Requirements, Pricing & Process | PawRoute"
Published (no brief),C,79.5,74.2,trust_comparison,,,,,,,,/destinations/,Pet Relocation Destinations from the UAE — Routes & Pricing | PawRoute
Published (no brief),C,79.5,64.3,reassurance,,,,,,,,/moving-to-dubai/quarantine/,Will my pet be quarantined when arriving in Dubai? | PawRoute
Published (no brief),C,79.6,61.7,reassurance,,,,,,,,/moving-to-dubai/dog-taken-at-airport/,What happens if your dog is taken at Dubai airport — and the 3 steps that prevent it | PawRoute
Published,C,79.7,73.6,service,MOFU→BOFU (commercial-investigation → transactional),pet relocation dubai to singapore,lead_generation (route enquiry → WhatsApp quote),route-singapore.json,CLAIMS-AUDIT.md,,Clear primary CTA,/destinations/uae-to-singapore/,Pet Relocation Dubai to Singapore — Requirements & Pricing | PawRoute
Published (no brief),C,79.8,50.7,hub,,,,,,,,/destinations/australia/,"Moving a Pet to Australia from Dubai — Cost, Timeline & Guides"
Published,B,80.2,74.1,service,MOFU→BOFU (commercial-investigation → transactional),pet relocation dubai to netherlands,lead_generation (route enquiry → WhatsApp quote),route-netherlands.json,CLAIMS-AUDIT.md,,Clear primary CTA,/destinations/uae-to-netherlands/,Pet Relocation Dubai to Netherlands — Requirements & Pricing | PawRoute
Published (no brief),B,80.2,80.3,homepage,,,,,,,Clear primary CTA,/,Pet Relocation from Dubai & the UAE — Transparent Pricing | PawRoute
