date,prompt,engine,brand_mentioned,cited,position,competitors_mentioned,source_url,notes
2026-06-09,"what documents do I need to import a dog to Dubai",WebSearch-grounded,no,no,3,"aphis.usda.gov;petrelocation.com;remitly.com;furry.ae;carrymypet.ae;moccae.gov.ae",https://www.aphis.usda.gov/pet-travel/us-to-another-country-export/pet-travel-us-united-arab-emirates,"#1 is gov (USDA APHIS, US-centric); MOCCAE regulator only #9; nearest aggregator petrelocation.com #3; carrymypet.ae present"
2026-06-09,"do I need a rabies titre test to bring a pet to the UAE",WebSearch-grounded,no,no,1,"petrelocation.com;aphis.usda.gov;unitedpetexpress.com;anvispetrelocation.com;pettravel.com;carrymypet.ae",https://www.petrelocation.com/blog/post/update-new-pet-import-rules-for-the-united-arab-emirates,"#1 aggregator (petrelocation); no MOCCAE in results; titre-window claim possibly inconsistent - verify vs MOCCAE (CQ); carrymypet present"
2026-06-09,"how much does it cost to relocate a pet from Dubai",WebSearch-grounded,no,no,1,"sandypaws.ae;bayut.com;propertyfinder.ae;moveconnector.com;360globalrelocations.com;iss-relocations.com;petfirst.ae",https://www.sandypaws.ae/uae-pet-import-cost,"all aggregators, NO gov (cost=commercial); open field; figures AED 2,000-25,000; matches G07"
2026-06-09,"can my pet fly in the cabin from Dubai",WebSearch-grounded,no,no,1,"pettravel.com;petrelocation.com;flydubai.com;bringfido.com;mypawland.com",https://www.pettravel.com/information/airlines/flydubai-pet-policy/,"#1 aggregator (pettravel); only airline-official is flydubai #4, no Emirates official page; summary accurate (no cabin)"
2026-06-09,"Dubai to UK pet relocation requirements",WebSearch-grounded,no,no,1,"moveconnector.com;yappaville.com;iss-relocations.com;meydanfz.ae;carrymypet.ae;petsabroaduk.co.uk",https://moveconnector.com/moving-tips/pet-relocation-from-uae-guide,"all aggregators, NO gov.uk/APHA cited - notable gap; content accurate; carrymypet present; open"
2026-06-09,"what are the requirements to import a dog to Australia",WebSearch-grounded,no,no,3,"aphis.usda.gov;agriculture.gov.au;petrelocation.com;abf.gov.au;travelnuity.com",https://www.aphis.usda.gov/pet-travel/us-to-another-country-export/pet-travel-us-australia,"gov cited (DAFF agriculture.gov.au, APHIS, ABF) + aggregator petrelocation #3"
2026-06-09,"how long is pet quarantine in Australia",WebSearch-grounded,no,no,1,"jamescargo.com;dogtainers.com.au;travelnuity.com;ferndalekennels.com;worldcarepet.com;petrelocation.com",https://www.jamescargo.com/blog/how-to-avoid-pet-quarantine-australia.php,"NO gov cited - all aggregators/movers; DAFF absent from links; open field (confirms inference)"
2026-06-09,"do I need a licence to import a dog to Singapore",WebSearch-grounded,no,no,2,"avs.nparks.gov.sg;petadventures.org;customs.gov.sg;pettravel.com;petrelocation.com",https://avs.nparks.gov.sg/pets/importing-exporting-a-pet/import/dogs-and-cats/,"gov cited (AVS #1, customs.gov.sg); nearest aggregator petadventures.org #2"
2026-06-09,"bring a pet to the UK from a non-EU country requirements",WebSearch-grounded,no,no,1,"petsabroaduk.co.uk;aphis.usda.gov;europa.eu;petadventures.org;aldgatevet.co.uk",https://www.petsabroaduk.co.uk/pet-transport-import-services/,"NO gov.uk/DEFRA cited (EU europa.eu + APHIS present, UK gov absent); aggregator petsabroaduk #1; open"
2026-06-09,"rabies titre test to bring a pet into the EU",WebSearch-grounded,no,no,2,"food.ec.europa.eu;pets2fly.com;petabroad.eu;travelnuity.com;petrelocation.com",https://food.ec.europa.eu/animals/movement-pets/designated-laboratories-performing-rabies-antibody-titration-tests_en,"gov cited (food.ec.europa.eu #1, ages.at); nearest aggregator pets2fly.com #2"
2026-06-09,"what are the CDC rules to bring a dog to the USA",WebSearch-grounded,no,no,7,"cdc.gov;aphis.usda.gov;avma.org;dvidshub.net",https://www.cdc.gov/importation/bringing-an-animal-into-the-us/index.html,"gov-dominated (CDC cited 6x + APHIS); freshness CORRECT (current CDC Dog Import Form, no stale permit); nearest aggregator avma.org #7"
2026-06-09,"can I bring my dog to the US in 2026",WebSearch-grounded,no,no,2,"cdc.gov;worldcarepet.com;aphis.usda.gov;patifyapp.com;vetsaglik.com;zoovettravel.com;passpets.co.uk",https://www.cdc.gov/importation/dogs/dog-import-form-instructions.html,"mixed gov+aggregator (CDC+APHIS; worldcarepet.com #2); freshness CORRECT (no stale permit)"
2026-06-09,"requirements to import a pet to Canada",WebSearch-grounded,no,no,4,"inspection.canada.ca;cbsa-asfc.gc.ca;aphis.usda.gov;passpaw.com;pettravel.com;chaudharylaw.com",https://inspection.canada.ca/en/importing-food-plants-animals/pets,"gov-dominated (CFIA #1, CBSA, APHIS); first aggregator passpaw.com #4; freshness correct"
2026-06-09,"returning to India with a dog NOC requirements",WebSearch-grounded,no,no,2,"aphis.usda.gov;tailwindglobalpet.com;aqcsindia.gov.in;cgisf.gov.in;odynovotours.com;furryflyers.com",https://www.aphis.usda.gov/pet-travel/us-to-another-country-export/pet-travel-us-india,"mixed gov+aggregator (APHIS + India AQCS aqcsindia.gov.in + cgisf.gov.in; tailwindglobalpet.com #2); AQCS NOC info current"
2026-06-09,"Dubai to USA pet relocation requirements",WebSearch-grounded,no,no,1,"opsmatters.com;universalrelocations.com;moveconnector.com;carrymypet.ae;petrelocation.com;aphis.usda.gov;pawsabroad.co",https://opsmatters.com/posts/navigating-pet-relocation-dubai-us-requirements-and-best-practices,"AGGREGATOR-dominated (opsmatters #1); APHIS buried #7, NO CDC.gov; freshness STALE/WRONG - repeats defunct 'CDC dog import permit, apply 6 weeks before' (real rule = free CDC Dog Import Form); CONFIRMS G06 misinformation goldmine"
