set,kind,authority,claim,status,verified,screenshot,source_url,date_verified,version,reviewer,reverify_by,stale
routes-batch2,fact,Canada CFIA,Canada CFIA import requirements for pets; rabies vaccination; arrival inspection; no quarantine,VERIFIED,True,audit/evidence/routes-batch2/canada-cfia-pets.png,https://inspection.canada.ca/en/importing-food-plants-animals/pets,2026-06-09,,,,False
routes-batch2,fact,European Commission,EU: microchip + rabies vaccination + EU animal health certificate; titre test for non-listed origins,VERIFIED,True,audit/evidence/routes-batch2/eu-bring-pet.png,https://food.ec.europa.eu/animals/live-animal-movements/dogs-cats-and-ferrets/bringing-pet-eu-non-eu-country_en,2026-06-09,,,,False
routes-batch2,fact,India AQCS,India: import permit / NOC from the Animal Quarantine and Certification Service,VERIFIED,True,audit/evidence/routes-batch2/india-aqcs.png,https://aqcsindia.gov.in/,2026-06-09,,,,False
routes-batch2,fact,South Africa DALRRD,South Africa: state veterinary import permit + rabies titre + disease tests,BLOCKED-OR-ERROR,False,,https://www.dalrrd.gov.za/,2026-06-09,,,,False
travel-methods,fact,Emirates,Emirates: pets not in cabin (except falcons Dubai–Pakistan + guide dogs); checked baggage if journey <17h; cargo if >17h or transit >6h or one-way into Dubai,VERIFIED,True,audit/evidence/travel-methods/emirates-animals-faq.png,https://www.emirates.com/english/help/faqs/what-are-the-rules-and-charges-for-travelling-with-animals/,2026-06-09,2026,(pending human sign-off),2026-10-07,False
travel-methods,fact,Emirates SkyCargo,"Emirates Pets (SkyCargo): door-to-door live-animal transport, dedicated Dubai Pet Lounge with 24/7 care, IATA LAR compliant",VERIFIED,True,audit/evidence/travel-methods/skycargo-emirates-pets.png,https://www.skycargo.com/products/live/pets/,2026-06-09,2026,(pending human sign-off),2026-10-07,False
uae-cost,fact,Australia DAFF,Australia: rabies (RNAT) titre test then a 180-day wait before export,BLOCKED-OR-ERROR,False,,https://www.agriculture.gov.au/biosecurity-trade/cats-dogs/rabies-neutralising-antibody,2026-06-09,,,,False
uae-cost,fact,Canada CFIA,Canada: CFIA import requirements for pets,VERIFIED,True,audit/evidence/uae-cost/ca-cfia.png,https://inspection.canada.ca/en/importing-food-plants-animals/pets,2026-06-09,,,,False
uae-cost,fact,European Commission,EU: pets from non-listed countries need a rabies antibody (titre) test,VERIFIED,True,audit/evidence/uae-cost/eu-titre.png,https://food.ec.europa.eu/animals/live-animal-movements/dogs-cats-and-ferrets/bringing-pet-eu-non-eu-country_en,2026-06-09,,,,False
uae-cost,fact,IATA,Airlines follow IATA Live Animals Regulations (crate standards; volumetric weight),VERIFIED,True,audit/evidence/uae-cost/iata-lar.png,https://www.iata.org/en/programs/cargo/live-animals/,2026-06-09,,,,False
uae-cost,fact,Singapore AVS (NParks),Singapore: import licence + quarantine for dogs/cats,VERIFIED,True,audit/evidence/uae-cost/sg-import.png,https://avs.nparks.gov.sg/pets/importing-exporting-a-pet/import/dogs-and-cats/,2026-06-09,,,,False
uae-cost,fact,UAE MOCCAE,UAE: MOCCAE import/export permit required; release fee on a held pet,VERIFIED,True,audit/evidence/uae-cost/moccae-permit.png,https://www.moccae.gov.ae/en/services/import-permit-pets,2026-06-09,,,,False
uae-cost,fact,UK GOV.UK,UK: pets with correct paperwork do not go into quarantine,VERIFIED,True,audit/evidence/uae-cost/uk-no-quarantine.png,https://www.gov.uk/bring-pet-to-great-britain,2026-06-09,,,,False
uae-cost,fact,UK GOV.UK,XL Bully banned in the UK (since 1 Feb 2024); cannot be imported,VERIFIED,True,audit/evidence/uae-cost/uk-xl-bully-ban.png,https://www.gov.uk/guidance/ban-on-xl-bully-dogs,2026-06-09,,,,False
uae-cost,fact,UK GOV.UK / APHA,UK tapeworm treatment for dogs: 24–120 hours (1–5 days) before arrival; cats exempt,VERIFIED,True,audit/evidence/uae-cost/uk-tapeworm-window.png,https://www.gov.uk/bring-pet-to-great-britain/tapeworm-treatment-dogs,2026-06-09,,,,False
uae-cost,fact,US CDC,"USA: every dog needs a CDC Dog Import Form, must be ≥6 months old and microchipped",VERIFIED,True,audit/evidence/uae-cost/cdc-dog-import-form.png,https://www.cdc.gov/importation/dogs/faqs.html,2026-06-09,,,,False
urgency,fact,Emirates SkyCargo,"Pets leave the UAE as IATA-compliant live-animal airfreight, with vet support at the Dubai Animal Care area",VERIFIED,True,audit/evidence/urgency/skycargo-pets.png,https://www.skycargo.com/products/live/pets/,2026-06-09,2026,(pending human sign-off),2026-10-07,False
urgency,fact,UK GOV.UK / DEFRA,UK: microchip before rabies vaccination; wait at least 21 full days after vaccination before travel,VERIFIED,True,audit/evidence/urgency/gov-uk-rabies-21day.png,https://www.gov.uk/bring-pet-to-great-britain,2026-06-09,2026,(pending human sign-off),2026-10-07,False
