claim_text,primary_domain,subdomain,source_title,source_url,source_year,source_tier,admiralty_code,grade,corroboration_count,contested,still_valid_2026,verify_method,client_confidence,contested_note,still_valid_note
"On the web, users typically read only about 20-28% of the words on a page during an average visit; reading share falls as word count rises.",reading_attention_psychology,scanning patterns,Nielsen Norman Group -- How Little Do Users Read?,https://www.nngroup.com/articles/how-little-do-users-read/,2008,1,A2,HIGH,2,False,True,Open the NN/G article and read the reported 20-28% range.,"strong, well-established evidence",,Figure is an estimate that varies by page and intent; directionally robust.
"The F-shaped scanning pattern is ONE of several gaze patterns, not a design goal; it is a sign of skimming that good layout (front-loading, headings, bullets) can prevent or reshape.",reading_attention_psychology,F-pattern and siblings,Nielsen Norman Group -- F-Shaped Pattern of Reading (2017 update),https://www.nngroup.com/articles/f-shaped-pattern-reading-web-content-discovered/,2017,1,A2,MODERATE,2,True,True,Read the 2017 NN/G eye-tracking update.,good supporting evidence,Often mis-cited as a universal law; NN/G stress it is one of several patterns and is preventable with good design.,
Front-loading conclusions and key information first (inverted pyramid) suits web skimming better than building up to a conclusion.,reading_attention_psychology,inverted pyramid / front-loading,Nielsen Norman Group -- Inverted Pyramid writing for the web,https://www.nngroup.com/articles/inverted-pyramid/,2017,1,A2,HIGH,2,False,True,Read NN/G inverted-pyramid guidance.,"strong, well-established evidence",,
"Working memory is sharply limited (classically about 7 plus or minus 2 items, with later estimates near 4 chunks), so interfaces should chunk information rather than present long undifferentiated lists.",reading_attention_psychology,working-memory limits,"Miller, The Magical Number Seven, Plus or Minus Two (Psychological Review)",https://doi.org/10.1037/h0043158,1956,1,A1,MODERATE,3,True,True,"Read Miller (1956) and later working-memory reviews (e.g., Cowan 2001).",good supporting evidence,"The exact capacity is debated; modern estimates often cite ~4 chunks. Use as a chunking heuristic, not a hard limit.",
"Cialdini identifies seven principles of influence -- reciprocity, commitment/consistency, social proof, authority, liking, scarcity, and unity (unity added in Pre-Suasion, 2016).",persuasion_behavioural_science,Cialdini principles,"Cialdini, Influence (1984) and Pre-Suasion (2016)",https://doi.org/10.1604/9781451497014,2016,1,A1,HIGH,3,False,True,See Influence (6 principles) and Pre-Suasion (adds Unity).,"strong, well-established evidence",,Original six principles plus Unity (2016); widely replicated across decades of research.
"Persuasion crosses into a deceptive 'dark pattern' when it manipulates choice against the user's interest (forced continuity, confirm-shaming, hidden costs); ethical influence makes the genuinely better choice easier, not the worse choice harder to avoid.",persuasion_behavioural_science,ethical-influence vs dark-pattern boundary,Nielsen Norman Group / Brignull -- Deceptive (dark) patterns,https://www.nngroup.com/articles/deceptive-patterns/,2023,1,A2,HIGH,2,False,True,Read NN/G deceptive-patterns taxonomy.,"strong, well-established evidence",,
"Fogg's behaviour model holds that a behaviour occurs only when motivation, ability, and a prompt converge at the same moment (B=MAP); if behaviour fails, raise ability (reduce friction) or improve the prompt before adding motivation.",persuasion_behavioural_science,Fogg B=MAP,"Fogg, A Behavior Model for Persuasive Design / Tiny Habits",https://doi.org/10.1145/1541948.1541999,2009,1,A1,HIGH,2,False,True,Read Fogg's Behavior Model paper.,"strong, well-established evidence",,
Conversion pages perform best with a single primary call to action; competing CTAs split attention and dilute the primary conversion goal.,conversion_copywriting,single primary CTA,CXL and GoodUI practitioner consensus on primary CTA,https://cxl.com/blog/how-to-design-cta-buttons/,2023,2,B2,MODERATE,2,False,True,"Triangulate CXL + GoodUI + Unbounce guidance; graded as expert consensus, not RCT.",good supporting evidence,,
"Checkout/cart abandonment among purchase-intending users averages roughly 70%, and a meaningful share of abandonment is driven by trust, unexpected cost, and account-creation friction.",conversion_copywriting,trust signals near forms,Baymard Institute -- Cart Abandonment Rate,https://baymard.com/lists/cart-abandonment-rate,2024,1,A2,HIGH,2,False,True,Open Baymard's cart-abandonment statistics page.,"strong, well-established evidence",,"Baymard is a practitioner Tier-1 usability lab (large-sample, not RCT); ~70% is an average across studies."
"Specific, benefit-led copy that names a concrete outcome converts better than vague feature lists; concreteness aids comprehension and recall.",conversion_copywriting,benefit vs feature / specificity,Conversion copywriting practitioner consensus (CXL / Copyhackers),https://cxl.com/blog/copywriting/,2022,2,B3,MODERATE,2,False,True,"Triangulate CXL and Copyhackers; expert consensus, MODERATE.",good supporting evidence,,
Organising content as a pillar page plus a cluster of supporting posts that interlink builds topical authority and helps both search ranking and internal navigation.,blogging_content_strategy,pillar/cluster topical authority,Topic-cluster model (HubSpot research; corroborated by SEO practitioners),https://blog.hubspot.com/marketing/topic-clusters-seo,2023,2,B3,MODERATE,2,False,True,Triangulate topic-cluster guidance across HubSpot + named SEO experts.,good supporting evidence,,
"Berger's STEPPS framework (Social currency, Triggers, Emotion, Public, Practical value, Stories) predicts sharing; high-arousal emotions (awe, anger, anxiety) increase sharing while low-arousal sadness decreases it -- arousal, not positivity, drives transmission.",blogging_content_strategy,shareability (STEPPS),"Berger & Milkman, What Makes Online Content Viral? (JMR); Berger, Contagious",https://doi.org/10.1509/jmr.10.0353,2012,1,A1,HIGH,3,False,True,Read Berger & Milkman (2012) JMR and Contagious (2013).,"strong, well-established evidence",,
"Nielsen's 10 usability heuristics (visibility of system status, match to the real world, user control, consistency, error prevention, recognition over recall, flexibility, minimalist design, error recovery, help) remain the baseline expert checklist for interface evaluation.",web_ux_design,Nielsen's 10 heuristics,Nielsen Norman Group -- 10 Usability Heuristics,https://www.nngroup.com/articles/ten-usability-heuristics/,2020,1,A1,HIGH,3,False,True,Read the NN/G 10 heuristics article.,"strong, well-established evidence",,
"Google's Core Web Vitals 'good' thresholds are LCP at or under 2.5 seconds, INP at or under 200 milliseconds, and CLS at or under 0.1; INP replaced FID as a Core Web Vital in March 2024.",web_ux_design,Core Web Vitals,web.dev -- Web Vitals (Core Web Vitals),https://web.dev/articles/vitals,2024,1,A1,HIGH,2,False,True,Open web.dev/articles/vitals and confirm the three thresholds.,"strong, well-established evidence",,
Hick's Law (decision time rises with the number and complexity of choices) and Fitts's Law (target acquisition time depends on distance and size) justify reducing options and making primary targets large and close.,web_ux_design,Hick's / Fitts's law,"Laws of UX (Yablonski), citing Hick 1952 and Fitts 1954",https://lawsofux.com/,2024,1,A2,HIGH,3,False,True,See Laws of UX and the original Hick (1952) / Fitts (1954) papers.,"strong, well-established evidence",,
"E-E-A-T (Experience, Expertise, Authoritativeness, Trust) is a quality framework used in Google's Search Quality Rater Guidelines, NOT a direct ranking factor; Trust is described as the most important component.",seo_2026,E-E-A-T,"Google Search Central -- Creating helpful, reliable, people-first content",https://developers.google.com/search/docs/fundamentals/creating-helpful-content,2024,1,A1,MODERATE,2,True,True,Read Google's helpful-content guidance and the Search Quality Rater Guidelines.,good supporting evidence,"Widely mis-stated as a direct ranking signal; Google states raters do not directly affect ranking and E-E-A-T is a concept, not a metric.",
The Helpful Content System was folded into Google's core ranking in the March 2024 core update and is no longer a separate standalone signal.,seo_2026,helpful content / core updates,Google Search Central -- March 2024 core update guidance,https://developers.google.com/search/blog/2024/03/core-update-spam-policies,2024,1,A1,HIGH,2,False,True,Read Google's March 2024 core update announcement.,"strong, well-established evidence",,
"Search intent splits into informational, commercial-investigation, transactional, and navigational; each query should be mapped to the page type that satisfies it (informational post, comparison, money/service page, or brand page).",seo_2026,search intent -> page mapping,Search-intent taxonomy (Google guidance; named SEO experts Aleyda Solis / Lily Ray),https://www.aleydasolis.com/en/search-engine-optimization/search-intent/,2023,2,B2,MODERATE,2,False,True,Triangulate Google intent guidance with Aleyda Solis and Lily Ray.,good supporting evidence,,
"For a service/lead-gen business, local SEO signals -- a complete Google Business Profile, consistent NAP, genuine reviews, and LocalBusiness/Service structured data -- materially affect visibility for location-qualified queries.",seo_2026,local / service-area SEO,Google -- Local SEO / structured data guidance; practitioner corroboration,https://developers.google.com/search/docs/appearance/structured-data/local-business,2024,1,A2,HIGH,2,False,True,Read Google's LocalBusiness structured-data docs.,"strong, well-established evidence",,
"Generative Engine Optimization (Aggarwal et al., KDD 2024) defines methods to raise a source's visibility in generative-engine answers; Cite Sources, Quotation Addition, and Statistics Addition were among the strongest, especially combined, with up to ~40% visibility uplift on GEO-bench.",geo,GEO framework + 9 methods,"Aggarwal et al., GEO: Generative Engine Optimization (KDD 2024, arXiv:2311.09735)",https://doi.org/10.1145/3637528.3671900,2024,1,A1,MODERATE,2,True,True,Confirmed in the GEO full text (arXiv:2311.09735): 'GEO can boost visibility by up to 40% in GE responses. ... the efficacy of these strategies varies across domains.',good supporting evidence,"The 'up to 40%' is a CEILING and is domain-dependent ('the efficacy of these strategies varies across domains') -- NOT a guaranteed uplift. Figure confirmed verbatim in the full paper (Numini fetched the full text, 9 Jun 2026): 'GEO can boost visibility by up to 40% in GE responses.'",
"Numini measurement (Jun 2026, SerpApi AI Overviews, gl=us): for the head query 'pet relocation dubai to uk' the AI Overview cited 14 sources, 8 of which were in the top-10 organic results -- generative engines draw heavily from but also beyond the classic top 10.",geo,AI-citation share (Numini measurement),Numini Research Elevator -- SERP/AI-Overview harvest (own measurement),internal:Research/Web_Persuasion/_harvest/serp/10_lead_generation_content_system.json,2026,1,A1,HIGH,1,False,True,Re-run harvest_serp.py --pillar lead_generation_content_system and inspect the overlap report.,"strong, well-established evidence",,AI Overviews are volatile; re-measure regularly. This is a point-in-time snapshot.
"Clear entity definition and consistent facts across a site and the wider web improve a brand's chances of being retrieved and cited by generative engines (AI Overviews, ChatGPT, Perplexity, Gemini).",geo,entity clarity / cross-platform consistency,GEO/AI-search practitioner consensus (Aleyda Solis; iPullRank/Mike King),https://ipullrank.com/,2024,2,B2,MODERATE,2,False,True,Triangulate iPullRank and Aleyda Solis GEO/AI-search analyses.,good supporting evidence,,
"For AI writing, RAG supplies updatable, citable knowledge, prompt engineering controls behaviour/flexibility, and fine-tuning durably encodes brand voice at scale; the strongest default is RAG plus structured prompting, with fine-tuning optional.",ai_assisted_writing_editing,RAG vs fine-tune vs prompt,"RAG vs fine-tuning decision literature (Lewis et al. RAG, 2020; vendor guidance)",https://arxiv.org/abs/2005.11401,2020,1,A2,HIGH,2,False,True,Read Lewis et al. (2020) RAG paper plus current provider guidance.,"strong, well-established evidence",,
"LLM writing systems hallucinate plausible but false facts; the mitigation is to ground output in a verified source (RAG), require citations, and refuse to assert anything not in the knowledge base.",ai_assisted_writing_editing,hallucination / factuality guardrails,Factuality/hallucination survey literature; RAG grounding evidence,https://arxiv.org/abs/2311.05232,2023,1,A2,HIGH,2,False,True,Read recent hallucination-survey papers; this mirrors the validation_gate design.,"strong, well-established evidence",,
"Professional editing proceeds in order from structural (developmental) edit to line edit to copy edit; editing for the web also means plain-language and readability work, not just grammar.",ai_assisted_writing_editing,human editing standards,Editorial standards (Chicago Manual of Style; plain-language guidance),https://www.plainlanguage.gov/guidelines/,2023,2,B2,MODERATE,2,False,True,See CMOS editing levels and plainlanguage.gov guidelines.,good supporting evidence,,
"Readability formulas (Flesch Reading Ease, Flesch-Kincaid Grade Level) are heuristics, not ground truth; recent work shows formulas and even LLMs are weak predictors of true reading ease, so they should guide, not be gamed.",ai_assisted_writing_editing,readability formulas are weak,Readability prediction evaluation (arXiv:2502.11150); Flesch lineage,https://arxiv.org/abs/2502.11150,2025,1,A2,MODERATE,2,True,True,Read arXiv:2502.11150 on readability-formula limitations.,good supporting evidence,"Treat readability scores as a guide, never a target to optimise blindly.",
"A blog is a different machine depending on its job: an ad/affiliate blog optimises for pageviews/RPM, whereas a lead-generation/service blog optimises for qualified enquiries and cost-per-lead -- the success metric, architecture, and CTA all change with the objective.",blog_purpose_business_model,blog purpose differs by goal,Content-strategy canon (CMI/HubSpot) reconciled with the lead-gen objective,https://contentmarketinginstitute.com/articles/content-marketing-strategy-guide/,2023,2,B3,MODERATE,2,False,True,Compare CMI/HubSpot strategy guides against a lead-gen funnel definition.,good supporting evidence,,Most published blog advice optimises for traffic; that is NOT this deployment's objective.
"Lead-gen content maps to funnel stages: TOFU informational ('do I need to relocate my pet?'), MOFU commercial-investigation ('best pet relocation Dubai to UK', costs, comparisons), and BOFU transactional ('pet relocation quote/book'); each post is tagged to a stage and to the money page it feeds.",lead_generation_content_system,intent -> funnel mapping,TOFU/MOFU/BOFU funnel + search-intent model (practitioner consensus),https://www.aleydasolis.com/en/search-engine-optimization/search-intent/,2023,2,B2,MODERATE,2,False,True,Map sample queries to stages and to the route/service money page they feed.,good supporting evidence,,
Route/service pages are the conversion assets ('money pages'); blog posts are demand capture that should internally link into the money pages (topical-cluster model). An informational post must never be a dead end.,lead_generation_content_system,money pages vs supporting content,Topical-cluster + internal-linking practitioner consensus,https://ipullrank.com/,2023,2,B3,MODERATE,2,False,True,Audit posts for at least one contextual link to a money page.,good supporting evidence,,
"Lead-capture forms convert better with fewer fields, reduced friction, and trust signals placed near the form; every non-essential field is a drop-off risk.",lead_generation_content_system,friction-minimised forms,Baymard Institute -- form usability research,https://baymard.com/research,2024,1,A2,HIGH,2,False,True,Read Baymard's form-usability findings.,"strong, well-established evidence",,
Repeatedly checking an A/B test and stopping when it looks significant ('peeking') inflates false-positive rates; either fix the sample size in advance or use sequential testing with Type-I/FDR control.,conversion_copywriting,A/B testing peeking,"Kohavi, Tang & Xu, Trustworthy Online Controlled Experiments (2020); Larsen et al., The American Statistician 78(2) 2024",https://doi.org/10.1017/9781108653985,2020,1,A1,HIGH,2,False,True,Read Kohavi/Tang/Xu (2020) and Larsen et al. (2024) on sequential testing.,"strong, well-established evidence",,
